School Name,District,Total Enrollment (Final)
Reed Elementary School,DUMAS SCHOOL DISTRICT,381
McGehee Elementary School,MCGEHEE SCHOOL DISTRICT,676
McGehee High School,MCGEHEE SCHOOL DISTRICT,494
Drew Central Elem. School,DREW CENTRAL SCHOOL DISTRICT,384
Drew Central High School,DREW CENTRAL SCHOOL DISTRICT,284
Drew Central Middle School,DREW CENTRAL SCHOOL DISTRICT,310
Monticello Elementary School,MONTICELLO SCHOOL DISTRICT,452
Monticello Middle School,MONTICELLO SCHOOL DISTRICT,386
Monticello High School,MONTICELLO SCHOOL DISTRICT,632
Monticello Intermediate School,MONTICELLO SCHOOL DISTRICT,489
Ida Burns Elementary School,CONWAY SCHOOL DISTRICT,404
Ellen Smith Elementary School,CONWAY SCHOOL DISTRICT,439
Carl Stuart Middle School,CONWAY SCHOOL DISTRICT,757
Conway High School,CONWAY SCHOOL DISTRICT,2000
Sallie Cone Preschool,N/A,N/A
Julia Lee Moore Elem. School,CONWAY SCHOOL DISTRICT,407
Florence Mattison Elem. School,CONWAY SCHOOL DISTRICT,501
Marguerite Vann Elem. School,CONWAY SCHOOL DISTRICT,419
Jim Stone Elementary School,CONWAY SCHOOL DISTRICT,414
Theodore Jones Elem. School,CONWAY SCHOOL DISTRICT,442
Bob Courtway Middle School,CONWAY SCHOOL DISTRICT,456
Ruth Doyle Middle School,CONWAY SCHOOL DISTRICT,583
Ray/Phyllis Simon Middle Schoo,CONWAY SCHOOL DISTRICT,466
Woodrow Cummins Elementary Sch,CONWAY SCHOOL DISTRICT,531
Carolyn Lewis Elementary Schoo,CONWAY SCHOOL DISTRICT,535
Conway Junior High School,CONWAY SCHOOL DISTRICT,1481
Greenbrier Eastside Elementary,GREENBRIER SCHOOL DISTRICT,416
Greenbrier High School,GREENBRIER SCHOOL DISTRICT,765
Greenbrier Middle School,GREENBRIER SCHOOL DISTRICT,532
Greenbrier Westside Elementary,GREENBRIER SCHOOL DISTRICT,413
Greenbrier Junior High School,GREENBRIER SCHOOL DISTRICT,549
Greenbrier Wooster Elementary,GREENBRIER SCHOOL DISTRICT,391
Greenbrier Springhill Elementary School,GREENBRIER SCHOOL DISTRICT,399
Guy-Perkins Elementary School,GUY-PERKINS SCHOOL DISTRICT,214
Guy-Perkins High School,GUY-PERKINS SCHOOL DISTRICT,165
Mayflower Elementary School,MAYFLOWER SCHOOL DISTRICT,390
Mayflower High School,MAYFLOWER SCHOOL DISTRICT,358
Mayflower Middle School,MAYFLOWER SCHOOL DISTRICT,313
Mt. Vernon/Enola Elem. School,MT. VERNON/ENOLA SCHOOL DISTRICT,258
Mt. Vernon/Enola High School,MT. VERNON/ENOLA SCHOOL DISTRICT,218
Vilonia Elementary School,VILONIA SCHOOL DISTRICT,485
Vilonia High School,VILONIA SCHOOL DISTRICT,718
Vilonia Primary School,VILONIA SCHOOL DISTRICT,448
Vilonia Freshman Academy,VILONIA SCHOOL DISTRICT,255
Vilonia Middle School,VILONIA SCHOOL DISTRICT,519
Frank Mitchell Intermediate School,VILONIA SCHOOL DISTRICT,771
Charleston Elementary School,CHARLESTON SCHOOL DISTRICT,489
Charleston High School,CHARLESTON SCHOOL DISTRICT,416
County Line Elementary School,COUNTY LINE SCHOOL DISTRICT,240
County Line High School,COUNTY LINE SCHOOL DISTRICT,196
Ozark Middle School,OZARK SCHOOL DISTRICT,291
Ozark Kindergarten School,OZARK SCHOOL DISTRICT,133
Elgin B. Milton Elem. School,OZARK SCHOOL DISTRICT,766
Ozark Junior High School,OZARK SCHOOL DISTRICT,295
Ozark High School,OZARK SCHOOL DISTRICT,360
Mammoth Spring Elem. School,MAMMOTH SPRING SCHOOL DISTRICT,230
Mammoth Spring High School,MAMMOTH SPRING SCHOOL DISTRICT,212
Salem Elementary School,SALEM SCHOOL DISTRICT,439
Salem High School,SALEM SCHOOL DISTRICT,366
Viola Elementary School,VIOLA SCHOOL DISTRICT,208
Viola High School,VIOLA SCHOOL DISTRICT,171
Cutter-Morning Star Elem. Sch.,CUTTER-MORNING STAR SCHOOL DISTRICT,312
Cutter-Morning Star High Sch.,CUTTER-MORNING STAR SCHOOL DISTRICT,284
Fountain Lake Elementary,FOUNTAIN LAKE SCHOOL DISTRICT,506
Fountain Lake Middle School Cobra Digital Prep Academy,FOUNTAIN LAKE SCHOOL DISTRICT,434
Fountain Lake Charter High School,FOUNTAIN LAKE SCHOOL DISTRICT,435
Gardner Stem Magnet School,HOT SPRINGS SCHOOL DISTRICT,422
Oaklawn Magnet School,HOT SPRINGS SCHOOL DISTRICT,600
Park Magnet School,HOT SPRINGS SCHOOL DISTRICT,265
Hot Springs Middle School,HOT SPRINGS SCHOOL DISTRICT,503
Langston Magnet School,HOT SPRINGS SCHOOL DISTRICT,362
Hot Springs Intermediate School,HOT SPRINGS SCHOOL DISTRICT,511
Hot Springs World Class High School,HOT SPRINGS SCHOOL DISTRICT,880
Jessieville Elementary School,JESSIEVILLE SCHOOL DISTRICT,398
Jessieville High School,JESSIEVILLE SCHOOL DISTRICT,260
Jessieville Middle School,JESSIEVILLE SCHOOL DISTRICT,214
Lake Hamilton Elementary Sch,LAKE HAMILTON SCHOOL DISTRICT,697
Lake Hamilton High School,LAKE HAMILTON SCHOOL DISTRICT,978
Lake Hamilton Jr. High School,LAKE HAMILTON SCHOOL DISTRICT,674
Lake Hamilton Interm. School,LAKE HAMILTON SCHOOL DISTRICT,671
Lake Hamilton Middle School,LAKE HAMILTON SCHOOL DISTRICT,694
Lake Hamilton Primary School,LAKE HAMILTON SCHOOL DISTRICT,646
Lakeside Primary School,LAKESIDE SCHOOL DIST(GARLAND),517
Lakeside Intermediate School,LAKESIDE SCHOOL DIST(GARLAND),816
Lakeside Middle School,LAKESIDE SCHOOL DIST(GARLAND),791
Lakeside High School,LAKESIDE SCHOOL DIST(GARLAND),1307
Mountain Pine Elem. School,MOUNTAIN PINE SCHOOL DISTRICT,282
Mountain Pine High School,MOUNTAIN PINE SCHOOL DISTRICT,206
Poyen Elementary School,POYEN SCHOOL DISTRICT,302
Poyen High School,POYEN SCHOOL DISTRICT,292
East End Elementary School,SHERIDAN SCHOOL DISTRICT,412
Sheridan Elementary School,SHERIDAN SCHOOL DISTRICT,552
Sheridan Junior High School,SHERIDAN SCHOOL DISTRICT,944
Sheridan High School,SHERIDAN SCHOOL DISTRICT,893
Sheridan Intermediate School,SHERIDAN SCHOOL DISTRICT,773
East End Intermediate School,SHERIDAN SCHOOL DISTRICT,528
Marmaduke Elementary School,MARMADUKE SCHOOL DISTRICT,396
Marmaduke High School,MARMADUKE SCHOOL DISTRICT,340
Greene Cty Tech Elem. School,GREENE COUNTY TECH SCHOOL DISTRICT,574
Greene Co. Tech Middle School,GREENE COUNTY TECH SCHOOL DISTRICT,598
Greene Co. Tech High School,GREENE COUNTY TECH SCHOOL DISTRICT,755
Green Co. Tech Jr. High School,GREENE COUNTY TECH SCHOOL DISTRICT,569
Greene Co. Tech Primary School,GREENE COUNTY TECH SCHOOL DISTRICT,533
Greene Cty Tech Intermediate,GREENE COUNTY TECH SCHOOL DISTRICT,551
Baldwin Elementary School,PARAGOULD SCHOOL DISTRICT,239
Woodrow Wilson Elem. School,PARAGOULD SCHOOL DISTRICT,254
Oak Grove Middle School,PARAGOULD SCHOOL DISTRICT,463
Paragould Junior High,PARAGOULD SCHOOL DISTRICT,485
Paragould High School,PARAGOULD SCHOOL DISTRICT,841
Paragould Primary School,PARAGOULD SCHOOL DISTRICT,520
Oak Grove Elementary School,PARAGOULD SCHOOL DISTRICT,246
Blevins Elementary School,BLEVINS SCHOOL DISTRICT,261
Blevins High School,BLEVINS SCHOOL DISTRICT,220
Wm. Jefferson Clinton Primary,HOPE SCHOOL DISTRICT,981
Beryl Henry Upper Elem. School,HOPE SCHOOL DISTRICT,272
Yerger Junior High School,HOPE SCHOOL DISTRICT,259
Hope High School,HOPE SCHOOL DISTRICT,612
Garland Learning Center,HOPE SCHOOL DISTRICT,146
Spring Hill Elementary School,SPRING HILL SCHOOL DISTRICT,313
Spring Hill High School,SPRING HILL SCHOOL DISTRICT,278
Bismarck Elementary School,BISMARCK SCHOOL DISTRICT,368
Bismarck Middle School,BISMARCK SCHOOL DISTRICT,301
Bismarck High School,BISMARCK SCHOOL DISTRICT,304
Glen Rose Elementary School,GLEN ROSE SCHOOL DISTRICT,385
Glen Rose High School,GLEN ROSE SCHOOL DISTRICT,318
Glen Rose Middle School,GLEN ROSE SCHOOL DISTRICT,317
Magnet Cove Elementary School,MAGNET COVE SCHOOL DIST.,369
Magnet Cove High School,MAGNET COVE SCHOOL DIST.,327
Malvern Elementary School,MALVERN SCHOOL DISTRICT,899
Malvern Middle School,MALVERN SCHOOL DISTRICT,302
Malvern High School,MALVERN SCHOOL DISTRICT,524
Wilson Intermediate School,MALVERN SCHOOL DISTRICT,310
Ouachita Elementary School,OUACHITA SCHOOL DISTRICT,275
Ouachita High School,OUACHITA SCHOOL DISTRICT,217
Joann Walters Elementary Sch,DIERKS SCHOOL DISTRICT,330
Dierks High School,DIERKS SCHOOL DISTRICT,250
Mineral Springs Elem. School,MINERAL SPRINGS SCHOOL DISTRICT,252
Mineral Springs High School,MINERAL SPRINGS SCHOOL DISTRICT,169
Nashville Elementary School,NASHVILLE SCHOOL DISTRICT,470
Nashville Junior High School,NASHVILLE SCHOOL DISTRICT,427
Nashville High School,NASHVILLE SCHOOL DISTRICT,381
